호텔 이름,위치,check_in_day,check_in_week,check_out_day,check_out_week,가격,평점
"사파리 인, 어 코스트 호텔 (Safari Inn, a Coast Hotel)","버뱅크, 로스앤젤레스 (CA) - 도심까지 5.7km",2023년 09월 01일,금요일,2023년 09월 02일,토요일,"255,390",9.3
힐튼 가든 인 버뱅크 다운타운 (Hilton Garden Inn Burbank Downtown),"버뱅크, 로스앤젤레스 (CA) - 도심까지 7.6km",2023년 09월 01일,금요일,2023년 09월 02일,토요일,"333,114",8.5
"홈 2 스위트 바이 힐튼 애너하임 리조트 캘리포니아 (Home2 Suites by Hilton Anaheim Resort, CA)","애너하임, 로스앤젤레스 (CA) - 도심까지 39.8km",2023년 09월 01일,금요일,2023년 09월 02일,토요일,"355,668",9
데이즈 인 바이 윈덤 알함브라 (Days Inn by Wyndham Alhambra CA),"이스트 로스앤젤레스, 로스앤젤레스 (CA) - 도심까지 11.4km",2023년 09월 01일,금요일,2023년 09월 02일,토요일,"186,536",8.5
Calamigos Guest Ranch and Beach Club,"말리부, 로스앤젤레스 (CA) - 도심까지 39.4km",2023년 09월 01일,금요일,2023년 09월 02일,토요일,"1,790,298",9.2
Dusk Hotel Hollywood,"헐리우드, 로스앤젤레스 (CA) - 도심에 위치",2023년 09월 01일,금요일,2023년 09월 02일,토요일,"198,909",7.5
더 키니 - 베니스 비치 (The Kinney - Venice Beach),"베니스 비치, 로스앤젤레스 (CA) - 도심까지 10.7km",2023년 09월 01일,금요일,2023년 09월 02일,토요일,"312,243",8.4
돌핀 코브 리조트 (Dolphins Cove Resort),"애너하임, 로스앤젤레스 (CA) - 도심까지 40.9km",2023년 09월 01일,금요일,2023년 09월 02일,토요일,"312,243",9.1
오메오 스위트 (Omeo Suites),"이스트 로스앤젤레스, 로스앤젤레스 (CA) - 도심까지 8.4km",2023년 09월 01일,금요일,2023년 09월 02일,토요일,"178,119",7.6
웨스트드리프트 맨하탄 비치 오토그래프 컬렉션 (Westdrift Manhattan Beach Autograph Collection),"비치 시티스, 로스앤젤레스 (CA) - 도심까지 18.2km",2023년 09월 01일,금요일,2023년 09월 02일,토요일,"383,727",10
"더 포르토피노 호텔 앤 마리나, 어 노블 하우스 호텔 (The Portofino Hotel & Marina, a Noble House Hotel)","비치 시티스, 로스앤젤레스 (CA) - 도심까지 24.4km",2023년 09월 01일,금요일,2023년 09월 02일,토요일,"453,779",8.5
코트야드 로스앤젤레스 우드랜드 힐스 (Courtyard Los Angeles Woodland Hills),"카노가 공원, 로스앤젤레스 (CA) - 도심까지 20.5km",2023년 09월 01일,금요일,2023년 09월 02일,토요일,"281,058",9.4
킴튼 라 피어 호텔 (Kimpton La Peer Hotel),"웨스트 할리우드, 로스앤젤레스 (CA) - 도심에 위치",2023년 09월 01일,금요일,2023년 09월 02일,토요일,"481,520",8.9
Residence Inn at Anaheim Resort/Convention Center,"애너하임, 로스앤젤레스 (CA) - 도심까지 40.2km",2023년 09월 01일,금요일,2023년 09월 02일,토요일,"351,129",8.8
